,,,"American Association of Individual Investors 625 N. Michigan Ave., Chicago, IL. 60611; (312) 280-0170; www.aaii.com",,,,,,,,,
5-19-94,22.0%,36.0%,42.0%,100%,28.13%,-20.0%,37.9%,48.0%,27.9%,456.88,443.62,454.92
5-26-94,29.0%,33.0%,38.0%,100%,28.88%,-9.0%,37.9%,48.0%,27.9%,457.77,451.79,457.33
6-2-94,39.0%,36.0%,25.0%,100%,30.25%,14.0%,37.9%,48.0%,27.9%,460.86,453.99,460.13
6-9-94,28.0%,47.0%,25.0%,100%,30.13%,3.0%,37.9%,48.0%,27.9%,461.87,455.43,458.67
6-16-94,32.0%,42.0%,26.0%,100%,30.88%,6.0%,37.9%,48.0%,27.9%,463.23,457.18,458.45
6-23-94,29.0%,45.0%,26.0%,100%,31.13%,3.0%,37.9%,48.0%,27.9%,458.45,442.51,442.80
6-30-94,32.0%,37.0%,31.0%,100%,31.13%,1.0%,37.9%,48.0%,27.9%,449.83,439.83,446.20
7-7-94,28.0%,32.0%,40.0%,100%,29.88%,-12.0%,37.9%,48.0%,27.9%,449.75,444.18,449.55
7-14-94,25.0%,40.0%,35.0%,100%,30.25%,-10.0%,37.9%,48.0%,27.9%,454.33,444.65,454.16
7-21-94,34.0%,38.0%,28.0%,100%,30.88%,6.0%,37.9%,48.0%,27.9%,455.71,450.69,453.11
7-28-94,27.0%,42.0%,31.0%,100%,29.38%,-4.0%,37.9%,48.0%,27.9%,459.33,451.36,458.26
8-4-94,22.0%,52.0%,26.0%,100%,28.63%,-4.0%,37.9%,48.0%,27.9%,462.77,456.08,457.09
8-11-94,34.0%,37.0%,29.0%,100%,28.88%,5.0%,37.9%,48.0%,27.9%,462.27,456.66,461.94
8-18-94,30.0%,40.0%,30.0%,100%,29.00%,0.0%,37.9%,48.0%,27.9%,465.91,459.89,463.68
8-25-94,32.0%,39.0%,29.0%,100%,29.00%,3.0%,37.9%,48.0%,27.9%,474.65,461.46,473.80
9-1-94,43.0%,34.0%,23.0%,100%,30.88%,20.0%,37.9%,48.0%,27.9%,477.59,470.67,470.99
9-8-94,47.0%,33.0%,20.0%,100%,33.63%,27.0%,37.9%,48.0%,27.9%,473.40,466.55,468.18
9-15-94,45.0%,25.0%,30.0%,100%,35.00%,15.0%,37.9%,48.0%,27.9%,474.81,466.15,471.19
9-22-94,37.0%,36.0%,27.0%,100%,36.25%,10.0%,37.9%,48.0%,27.9%,473.15,458.47,459.67
9-29-94,38.0%,32.0%,30.0%,100%,38.25%,8.0%,37.9%,48.0%,27.9%,464.84,459.01,462.69
10-6-94,33.0%,39.0%,28.0%,100%,38.13%,5.0%,37.9%,48.0%,27.9%,463.31,449.27,455.10
10-13-94,35.0%,39.0%,26.0%,100%,38.75%,9.0%,37.9%,48.0%,27.9%,471.30,455.10,469.10
10-20-94,39.0%,33.0%,28.0%,100%,39.63%,11.0%,37.9%,48.0%,27.9%,471.43,463.83,464.89
10-27-94,43.0%,38.0%,19.0%,100%,39.63%,24.0%,37.9%,48.0%,27.9%,473.78,458.26,473.77
11-3-94,40.0%,35.0%,25.0%,100%,38.75%,15.0%,37.9%,48.0%,27.9%,474.74,462.28,462.28
11-10-94,37.0%,31.0%,32.0%,100%,37.75%,5.0%,37.9%,48.0%,27.9%,469.95,461.25,462.35
11-17-94,39.0%,22.0%,39.0%,100%,38.00%,0.0%,37.9%,48.0%,27.9%,468.51,460.25,461.47
11-23-94,39.0%,32.0%,29.0%,100%,38.13%,10.0%,37.9%,48.0%,27.9%,466.25,444.18,449.93
11-30-94,44.0%,30.0%,26.0%,100%,39.50%,18.0%,37.9%,48.0%,27.9%,457.13,447.97,453.30
12-8-94,30.0%,35.0%,35.0%,100%,38.88%,-5.0%,37.9%,48.0%,27.9%,455.04,442.88,446.96
12-15-94,33.0%,35.0%,32.0%,100%,38.13%,1.0%,37.9%,48.0%,27.9%,458.80,445.62,458.80
12-22-94,42.0%,25.0%,33.0%,100%,38.00%,9.0%,37.9%,48.0%,27.9%,461.70,455.34,459.67
12-29-94,40.0%,43.0%,17.0%,100%,38.00%,23.0%,37.9%,48.0%,27.9%,462.73,459.00,459.27
1-5-95,44.0%,31.0%,25.0%,100%,38.88%,19.0%,37.9%,48.0%,27.9%,462.49,457.20,460.68
1-12-95,36.0%,42.0%,22.0%,100%,38.50%,14.0%,37.9%,48.0%,27.9%,466.43,459.74,465.97
1-19-95,37.0%,39.0%,24.0%,100%,38.25%,13.0%,37.9%,48.0%,27.9%,470.43,463.99,464.78
1-26-95,38.0%,37.0%,25.0%,100%,37.50%,13.0%,37.9%,48.0%,27.9%,471.36,464.40,470.39
2-2-95,38.0%,37.0%,25.0%,100%,38.50%,13.0%,37.9%,48.0%,27.9%,479.91,467.49,478.64
2-9-95,34.0%,43.0%,23.0%,100%,38.63%,11.0%,37.9%,48.0%,27.9%,482.60,478.36,481.46
2-16-95,43.0%,37.0%,20.0%,100%,38.75%,23.0%,37.9%,48.0%,27.9%,485.54,480.89,481.97
2-23-95,46.0%,37.0%,17.0%,100%,39.50%,29.0%,37.9%,48.0%,27.9%,489.19,481.97,488.11
3-2-95,53.0%,26.0%,21.0%,100%,40.63%,32.0%,37.9%,48.0%,27.9%,488.11,483.07,485.42
3-9-95,48.0%,34.0%,18.0%,100%,42.13%,30.0%,37.9%,48.0%,27.9%,490.37,479.70,489.57
3-16-95,39.0%,41.0%,20.0%,100%,42.38%,19.0%,37.9%,48.0%,27.9%,496.67,489.35,495.52
3-23-95,47.0%,30.0%,23.0%,100%,43.50%,24.0%,37.9%,48.0%,27.9%,500.97,493.67,500.97
3-30-95,52.0%,23.0%,25.0%,100%,45.25%,27.0%,37.9%,48.0%,27.9%,508.15,495.70,500.71
4-6-95,42.0%,25.0%,33.0%,100%,46.25%,9.0%,37.9%,48.0%,27.9%,507.19,500.20,506.42
4-13-95,40.0%,23.0%,37.0%,100%,45.88%,3.0%,37.9%,48.0%,27.9%,509.83,503.59,509.23
4-20-95,37.0%,27.0%,36.0%,100%,44.75%,1.0%,37.9%,48.0%,27.9%,508.49,501.19,508.49
4-27-95,52.0%,29.0%,19.0%,100%,44.63%,33.0%,37.9%,48.0%,27.9%,515.29,507.44,514.71
5-4-95,42.0%,27.0%,31.0%,100%,43.88%,11.0%,37.9%,48.0%,27.9%,525.40,513.03,520.12
5-11-95,44.0%,26.0%,30.0%,100%,44.50%,14.0%,37.9%,48.0%,27.9%,527.05,519.14,525.55
5-18-95,42.0%,23.0%,35.0%,100%,43.88%,7.0%,37.9%,48.0%,27.9%,529.08,517.07,519.19
5-25-95,44.0%,26.0%,30.0%,100%,42.88%,14.0%,37.9%,48.0%,27.9%,531.91,519.19,523.65
6-1-95,39.0%,34.0%,27.0%,100%,42.50%,12.0%,37.9%,48.0%,27.9%,536.91,521.38,532.51
6-8-95,44.0%,25.0%,31.0%,100%,43.00%,13.0%,37.9%,48.0%,27.9%,537.73,526.00,527.94
6-15-95,36.0%,31.0%,33.0%,100%,42.88%,3.0%,37.9%,48.0%,27.9%,539.98,527.94,539.83
6-22-95,48.0%,21.0%,31.0%,100%,42.38%,17.0%,37.9%,48.0%,27.9%,551.07,539.83,549.71
6-29-95,35.0%,28.0%,37.0%,100%,41.50%,-2.0%,37.9%,48.0%,27.9%,549.79,540.79,544.75
7-6-95,35.0%,34.0%,31.0%,100%,40.38%,4.0%,37.9%,48.0%,27.9%,556.37,544.43,556.37
7-13-95,44.0%,18.0%,38.0%,100%,40.63%,6.0%,37.9%,48.0%,27.9%,562.00,553.80,559.89
7-20-95,43.0%,30.0%,27.0%,100%,40.50%,16.0%,37.9%,48.0%,27.9%,562.72,550.98,553.62
7-27-95,41.0%,26.0%,33.0%,100%,40.75%,8.0%,37.9%,48.0%,27.9%,565.40,553.62,562.93
8-3-95,38.0%,34.0%,28.0%,100%,40.00%,10.0%,37.9%,48.0%,27.9%,565.62,554.10,558.94
8-10-95,40.0%,30.0%,30.0%,100%,40.50%,10.0%,37.9%,48.0%,27.9%,561.59,553.04,555.11
8-17-95,36.0%,43.0%,21.0%,100%,39.00%,15.0%,37.9%,48.0%,27.9%,561.24,554.76,559.21
8-24-95,35.0%,28.0%,37.0%,100%,39.00%,-2.0%,37.9%,48.0%,27.9%,563.34,555.20,560.10
8-31-95,38.0%,42.0%,20.0%,100%,39.38%,18.0%,37.9%,48.0%,27.9%,564.62,555.71,563.84
9-7-95,37.0%,36.0%,27.0%,100%,38.50%,10.0%,37.9%,48.0%,27.9%,572.68,563.84,572.68
9-14-95,46.0%,32.0%,22.0%,100%,38.88%,24.0%,37.9%,48.0%,27.9%,585.07,572.68,583.35
9-21-95,46.0%,25.0%,29.0%,100%,39.50%,17.0%,37.9%,48.0%,27.9%,586.79,578.25,581.73
9-28-95,42.0%,27.0%,31.0%,100%,40.00%,11.0%,37.9%,48.0%,27.9%,587.61,574.68,584.41
10-5-95,39.0%,37.0%,24.0%,100%,39.88%,15.0%,37.9%,48.0%,27.9%,585.05,578.48,582.49
10-12-95,41.0%,30.0%,29.0%,100%,40.50%,12.0%,37.9%,48.0%,27.9%,587.39,571.55,584.50
10-19-95,47.0%,32.0%,21.0%,100%,42.00%,26.0%,37.9%,48.0%,27.9%,590.66,581.90,587.46
10-26-95,46.0%,33.0%,21.0%,100%,43.00%,25.0%,37.9%,48.0%,27.9%,587.46,572.53,579.70
11-2-95,47.0%,34.0%,19.0%,100%,44.25%,28.0%,37.9%,48.0%,27.9%,590.57,579.70,590.57
11-9-95,49.0%,35.0%,16.0%,100%,44.63%,33.0%,37.9%,48.0%,27.9%,593.90,584.24,592.72
11-16-95,46.0%,31.0%,23.0%,100%,44.63%,23.0%,37.9%,48.0%,27.9%,600.14,588.36,600.07
11-22-95,48.0%,18.0%,34.0%,100%,45.38%,14.0%,37.9%,48.0%,27.9%,600.71,595.42,598.40
11-30-95,51.0%,30.0%,19.0%,100%,46.88%,32.0%,37.9%,48.0%,27.9%,608.69,599.02,606.98
12-7-95,48.0%,28.0%,24.0%,100%,47.75%,24.0%,37.9%,48.0%,27.9%,621.11,606.85,617.48
12-14-95,51.0%,23.0%,26.0%,100%,48.25%,25.0%,37.9%,48.0%,27.9%,621.69,616.34,616.34
12-21-95,48.0%,28.0%,24.0%,100%,48.50%,24.0%,37.9%,48.0%,27.9%,616.34,605.05,611.96
12-28-95,46.0%,34.0%,20.0%,100%,48.38%,26.0%,37.9%,48.0%,27.9%,615.93,611.96,615.93
1-4-96,55.0%,18.0%,27.0%,100%,49.13%,28.0%,37.9%,48.0%,27.9%,624.52,612.02,616.71
1-11-96,#N/A,#N/A,#N/A,#N/A,#N/A,,37.9%,48.0%,27.9%,619.15,597.29,601.81
1-18-96,42.0%,29.0%,29.0%,100%,#N/A,13.0%,37.9%,48.0%,27.9%,612.92,598.47,611.83
1-25-96,36.0%,40.0%,24.0%,100%,#N/A,12.0%,37.9%,48.0%,27.9%,621.62,610.65,621.62
2-1-96,54.0%,31.0%,15.0%,100%,#N/A,39.0%,37.9%,48.0%,27.9%,639.26,621.42,635.84
2-8-96,53.0%,31.0%,16.0%,100%,#N/A,37.0%,37.9%,48.0%,27.9%,656.37,641.43,656.37
2-15-96,54.0%,21.0%,25.0%,100%,#N/A,29.0%,37.9%,48.0%,27.9%,664.23,646.99,647.98
2-22-96,49.0%,22.0%,29.0%,100%,#N/A,20.0%,37.9%,48.0%,27.9%,663.00,638.79,659.08
2-29-96,45.0%,28.0%,27.0%,100%,#N/A,18.0%,37.9%,48.0%,27.9%,659.08,635.00,644.37
3-7-96,44.0%,28.0%,28.0%,100%,47.13%,16.0%,37.9%,48.0%,27.9%,656.97,627.63,633.50
3-14-96,36.0%,35.0%,29.0%,100%,46.38%,7.0%,37.9%,48.0%,27.9%,641.43,637.09,641.43
3-21-96,47.0%,31.0%,22.0%,100%,47.75%,25.0%,37.9%,48.0%,27.9%,656.18,641.43,650.62
3-28-96,45.0%,31.0%,24.0%,100%,46.63%,21.0%,37.9%,48.0%,27.9%,652.97,645.50,645.50
4-4-96,40.0%,43.0%,17.0%,100%,45.00%,23.0%,37.9%,48.0%,27.9%,656.68,645.50,655.86
4-11-96,40.0%,42.0%,18.0%,100%,43.25%,22.0%,37.9%,48.0%,27.9%,655.86,624.14,636.71
4-18-96,36.0%,38.0%,26.0%,100%,41.63%,10.0%,37.9%,48.0%,27.9%,647.32,631.18,645.07
4-25-96,28.0%,40.0%,32.0%,100%,39.50%,-4.0%,37.9%,48.0%,27.9%,656.43,643.61,653.46
5-2-96,48.0%,31.0%,21.0%,100%,40.00%,27.0%,37.9%,48.0%,27.9%,656.44,640.23,641.63
5-9-96,46.0%,38.0%,16.0%,100%,41.25%,30.0%,37.9%,48.0%,27.9%,652.09,638.26,652.09
5-16-96,37.0%,40.0%,23.0%,100%,40.00%,14.0%,37.9%,48.0%,27.9%,669.84,645.44,668.91
5-23-96,51.0%,35.0%,14.0%,100%,40.75%,37.0%,37.9%,48.0%,27.9%,681.10,667.64,678.51
5-30-96,61.0%,29.0%,10.0%,100%,43.38%,51.0%,37.9%,48.0%,27.9%,679.98,664.56,669.12
6-6-96,47.0%,28.0%,25.0%,100%,44.25%,22.0%,37.9%,48.0%,27.9%,680.32,662.48,673.31
6-13-96,49.0%,28.0%,23.0%,100%,45.88%,26.0%,37.9%,48.0%,27.9%,676.72,664.35,665.85
6-20-96,42.0%,32.0%,26.0%,100%,47.63%,16.0%,37.9%,48.0%,27.9%,668.27,661.34,666.84
6-27-96,42.0%,41.0%,17.0%,100%,46.88%,25.0%,37.9%,48.0%,27.9%,672.68,661.56,670.63
7-3-96,32.0%,44.0%,24.0%,100%,45.13%,8.0%,37.9%,48.0%,27.9%,675.88,670.21,672.40
7-11-96,40.0%,35.0%,25.0%,100%,45.50%,15.0%,37.9%,48.0%,27.9%,657.65,639.52,646.19
7-18-96,29.0%,45.0%,26.0%,100%,42.75%,3.0%,37.9%,48.0%,27.9%,646.19,605.88,638.73
7-25-96,30.0%,32.0%,38.0%,100%,38.88%,-8.0%,37.9%,48.0%,27.9%,638.73,616.43,635.90
8-1-96,29.0%,38.0%,33.0%,100%,36.63%,-4.0%,37.9%,48.0%,27.9%,662.49,629.22,662.49
8-8-96,27.0%,42.0%,31.0%,100%,33.88%,-4.0%,37.9%,48.0%,27.9%,665.37,656.83,662.10
8-15-96,43.0%,37.0%,20.0%,100%,34.00%,23.0%,37.9%,48.0%,27.9%,666.34,658.47,665.21
8-22-96,28.0%,46.0%,26.0%,100%,32.25%,2.0%,37.9%,48.0%,27.9%,670.68,662.16,667.03
8-29-96,28.0%,43.0%,29.0%,100%,31.75%,-1.0%,37.9%,48.0%,27.9%,670.68,650.52,651.99
9-5-96,29.0%,35.0%,36.0%,100%,30.38%,-7.0%,37.9%,48.0%,27.9%,658.21,643.97,655.68
9-12-96,26.0%,46.0%,28.0%,100%,30.00%,-2.0%,37.9%,48.0%,27.9%,681.39,655.68,680.54
9-19-96,28.0%,41.0%,31.0%,100%,29.75%,-3.0%,37.9%,48.0%,27.9%,687.07,679.06,687.03
9-26-96,34.0%,39.0%,27.0%,100%,30.38%,7.0%,37.9%,48.0%,27.9%,690.88,681.01,686.19
10-3-96,40.0%,31.0%,29.0%,100%,32.00%,11.0%,37.9%,48.0%,27.9%,701.74,686.03,701.46
10-10-96,38.0%,36.0%,26.0%,100%,31.38%,12.0%,37.9%,48.0%,27.9%,705.76,693.34,700.66
10-17-96,39.0%,36.0%,25.0%,100%,32.75%,14.0%,37.9%,48.0%,27.9%,711.04,699.07,710.82
10-24-96,42.0%,33.0%,25.0%,100%,34.50%,17.0%,37.9%,48.0%,27.9%,714.10,700.53,700.92
10-31-96,37.0%,29.0%,34.0%,100%,35.50%,3.0%,37.9%,48.0%,27.9%,708.60,696.22,703.77
11-7-96,26.0%,45.0%,29.0%,100%,35.50%,-3.0%,37.9%,48.0%,27.9%,730.82,702.84,730.82
11-14-96,37.0%,34.0%,29.0%,100%,36.63%,8.0%,37.9%,48.0%,27.9%,741.92,728.03,737.62
11-21-96,43.0%,30.0%,27.0%,100%,37.75%,16.0%,37.9%,48.0%,27.9%,748.73,737.02,748.73
11-27-96,52.0%,27.0%,21.0%,100%,39.25%,31.0%,37.9%,48.0%,27.9%,762.12,741.08,755.00
12-5-96,41.0%,26.0%,33.0%,100%,39.63%,8.0%,37.9%,48.0%,27.9%,761.75,726.98,739.60
12-12-96,40.0%,28.0%,32.0%,100%,39.75%,8.0%,37.9%,48.0%,27.9%,753.43,718.98,728.64
12-19-96,33.0%,28.0%,39.0%,100%,38.63%,-6.0%,37.9%,48.0%,27.9%,755.41,716.69,748.87
12-26-96,37.0%,33.0%,30.0%,100%,38.63%,7.0%,37.9%,48.0%,27.9%,756.79,746.92,756.79
1-2-97,43.0%,33.0%,24.0%,100%,40.75%,19.0%,37.9%,48.0%,27.9%,753.85,737.01,748.03
1-9-97,36.0%,39.0%,25.0%,100%,40.63%,11.0%,37.9%,48.0%,27.9%,759.65,742.18,759.50
1-16-97,42.0%,32.0%,26.0%,100%,40.50%,16.0%,37.9%,48.0%,27.9%,776.17,759.51,776.17
1-23-97,37.0%,41.0%,22.0%,100%,38.63%,15.0%,37.9%,48.0%,27.9%,794.67,768.17,770.52
1-30-97,51.0%,33.0%,16.0%,100%,39.88%,35.0%,37.9%,48.0%,27.9%,791.86,761.75,786.16
2-6-97,47.0%,29.0%,24.0%,100%,40.75%,23.0%,37.9%,48.0%,27.9%,789.72,773.43,789.56
2-13-97,45.0%,37.0%,18.0%,100%,42.25%,27.0%,37.9%,48.0%,27.9%,812.93,780.95,808.48
2-20-97,44.0%,36.0%,20.0%,100%,43.13%,24.0%,37.9%,48.0%,27.9%,817.68,799.99,801.77
2-27-97,63.0%,22.0%,15.0%,100%,45.63%,48.0%,37.9%,48.0%,27.9%,812.85,788.50,790.82
3-6-97,43.0%,37.0%,20.0%,100%,46.50%,23.0%,37.9%,48.0%,27.9%,808.19,785.66,804.97
3-13-97,34.0%,36.0%,30.0%,100%,45.50%,4.0%,37.9%,48.0%,27.9%,814.90,789.44,793.17
3-20-97,36.0%,42.0%,22.0%,100%,45.38%,14.0%,37.9%,48.0%,27.9%,797.18,786.29,784.10
3-27-97,27.0%,40.0%,33.0%,100%,42.38%,-6.0%,37.9%,48.0%,27.9%,790.89,773.88,773.88
4-3-97,29.0%,40.0%,31.0%,100%,40.13%,-2.0%,37.9%,48.0%,27.9%,759.64,750.32,757.90
4-10-97,26.0%,37.0%,37.0%,100%,37.75%,-11.0%,37.9%,48.0%,27.9%,769.53,737.64,737.65
4-17-97,31.0%,41.0%,28.0%,100%,36.13%,3.0%,37.9%,48.0%,27.9%,768.55,733.54,766.34
4-24-97,28.0%,40.0%,32.0%,100%,31.75%,-4.0%,37.9%,48.0%,27.9%,779.89,756.38,765.37
5-1-97,27.0%,44.0%,29.0%,100%,29.75%,-2.0%,37.9%,48.0%,27.9%,812.99,763.30,812.97
5-8-97,30.0%,44.0%,26.0%,100%,29.25%,4.0%,37.9%,48.0%,27.9%,832.29,811.80,824.78
5-15-97,41.0%,36.0%,23.0%,100%,29.88%,18.0%,37.9%,48.0%,27.9%,842.45,824.78,829.75
5-22-97,40.0%,35.0%,25.0%,100%,31.50%,15.0%,37.9%,48.0%,27.9%,848.49,826.41,847.03
5-29-97,40.0%,40.0%,20.0%,100%,32.88%,20.0%,37.9%,48.0%,27.9%,851.87,831.87,848.28
6-5-97,52.0%,33.0%,15.0%,100%,36.13%,37.0%,37.9%,48.0%,27.9%,859.24,838.82,858.01
6-12-97,49.0%,35.0%,16.0%,100%,38.38%,33.0%,37.9%,48.0%,27.9%,894.69,858.01,893.27
6-19-97,59.0%,26.0%,15.0%,100%,42.25%,44.0%,37.9%,48.0%,27.9%,901.77,886.19,898.70
6-26-97,52.0%,25.0%,23.0%,100%,45.38%,29.0%,37.9%,48.0%,27.9%,902.09,878.43,887.30
7-3-97,45.0%,30.0%,25.0%,100%,47.25%,20.0%,37.9%,48.0%,27.9%,917.82,879.82,916.92
7-10-97,49.0%,33.0%,18.0%,100%,48.25%,31.0%,37.9%,48.0%,27.9%,923.26,902.48,916.68
7-17-97,54.0%,30.0%,16.0%,100%,50.00%,38.0%,37.9%,48.0%,27.9%,939.32,912.02,915.30
7-24-97,53.0%,25.0%,22.0%,100%,51.63%,31.0%,37.9%,48.0%,27.9%,945.65,907.12,938.79
7-31-97,48.0%,26.0%,26.0%,100%,51.13%,22.0%,37.9%,48.0%,27.9%,955.35,932.56,947.14
8-7-97,49.0%,28.0%,23.0%,100%,51.13%,26.0%,37.9%,48.0%,27.9%,964.17,925.74,933.54
8-14-97,49.0%,30.0%,21.0%,100%,49.88%,28.0%,37.9%,48.0%,27.9%,942.99,900.81,900.81
8-21-97,47.0%,33.0%,20.0%,100%,49.25%,27.0%,37.9%,48.0%,27.9%,939.47,905.52,923.55
8-28-97,50.0%,28.0%,22.0%,100%,49.88%,28.0%,37.9%,48.0%,27.9%,920.16,899.47,899.47
9-4-97,37.0%,38.0%,25.0%,100%,48.38%,12.0%,37.9%,48.0%,27.9%,940.37,899.47,929.05
9-11-97,42.0%,36.0%,22.0%,100%,46.88%,20.0%,37.9%,48.0%,27.9%,938.90,902.56,923.91
9-18-97,40.0%,44.0%,16.0%,100%,45.25%,24.0%,37.9%,48.0%,27.9%,952.35,919.41,950.51
9-25-97,39.0%,42.0%,19.0%,100%,44.13%,20.0%,37.9%,48.0%,27.9%,960.59,937.38,945.22
10-2-97,38.0%,43.0%,19.0%,100%,42.75%,19.0%,37.9%,48.0%,27.9%,975.47,941.94,965.03
10-9-97,43.0%,43.0%,14.0%,100%,42.00%,29.0%,37.9%,48.0%,27.9%,983.12,963.34,966.98
10-16-97,43.0%,36.0%,21.0%,100%,41.50%,22.0%,37.9%,48.0%,27.9%,973.46,931.58,944.16
10-23-97,40.0%,46.0%,14.0%,100%,40.25%,26.0%,37.9%,48.0%,27.9%,972.61,937.55,941.64
10-30-97,41.0%,36.0%,23.0%,100%,40.75%,18.0%,37.9%,48.0%,27.9%,941.64,855.27,914.62
11-6-97,38.0%,37.0%,25.0%,100%,40.25%,13.0%,37.9%,48.0%,27.9%,949.62,914.62,927.51
11-13-97,45.0%,38.0%,17.0%,100%,40.88%,28.0%,37.9%,48.0%,27.9%,935.90,900.16,928.35
11-20-97,40.0%,38.0%,22.0%,100%,41.00%,18.0%,37.9%,48.0%,27.9%,963.09,938.23,963.09
11-26-97,40.0%,40.0%,20.0%,100%,41.25%,20.0%,37.9%,48.0%,27.9%,963.09,944.71,955.40
12-4-97,49.0%,33.0%,18.0%,100%,42.00%,31.0%,37.9%,48.0%,27.9%,986.25,966.16,983.79
12-11-97,46.0%,37.0%,17.0%,100%,42.38%,29.0%,37.9%,48.0%,27.9%,985.67,947.00,953.39
12-18-97,40.0%,41.0%,19.0%,100%,42.38%,21.0%,37.9%,48.0%,27.9%,974.30,924.92,946.78
12-24-97,41.0%,36.0%,23.0%,100%,42.38%,18.0%,37.9%,48.0%,27.9%,956.73,932.70,936.46
12-31-97,34.0%,35.0%,31.0%,100%,41.88%,3.0%,37.9%,48.0%,27.9%,975.02,936.46,975.04
1-8-98,42.0%,40.0%,18.0%,100%,41.50%,24.0%,37.9%,48.0%,27.9%,982.63,921.72,927.69
1-16-98,38.0%,45.0%,17.0%,100%,41.25%,21.0%,37.9%,48.0%,27.9%,965.12,912.83,961.51
1-23-98,31.0%,39.0%,30.0%,100%,40.13%,1.0%,37.9%,48.0%,27.9%,978.60,950.86,957.59
1-30-98,38.0%,42.0%,20.0%,100%,38.75%,18.0%,37.9%,48.0%,27.9%,992.65,954.24,980.28
2-5-98,30.0%,45.0%,25.0%,100%,36.75%,5.0%,37.9%,48.0%,27.9%,"1,013.51",980.28,"1,012.46"
2-12-98,45.0%,36.0%,19.0%,100%,37.38%,26.0%,37.9%,48.0%,27.9%,"1,026.30","1,006.28","1,020.09"
2-19-98,42.0%,43.0%,15.0%,100%,37.50%,27.0%,37.9%,48.0%,27.9%,"1,034.21","1,020.09","1,034.21"
2-26-98,53.0%,33.0%,14.0%,100%,39.88%,39.0%,37.9%,48.0%,27.9%,"1,051.66","1,028.89","1,049.34"
3-5-98,53.0%,34.0%,13.0%,100%,41.25%,40.0%,37.9%,48.0%,27.9%,"1,055.69","1,044.70","1,055.69"
3-12-98,44.0%,36.0%,20.0%,100%,42.00%,24.0%,37.9%,48.0%,27.9%,"1,075.86","1,050.02","1,068.61"
3-19-98,40.0%,38.0%,22.0%,100%,43.13%,18.0%,37.9%,48.0%,27.9%,"1,101.04","1,068.61","1,099.16"
3-26-98,45.0%,35.0%,20.0%,100%,44.00%,25.0%,37.9%,48.0%,27.9%,"1,113.07","1,090.02","1,093.55"
4-2-98,46.0%,32.0%,22.0%,100%,46.00%,24.0%,37.9%,48.0%,27.9%,"1,090.02","1,110.13","1,108.15"
4-9-98,41.0%,36.0%,23.0%,100%,45.50%,18.0%,37.9%,48.0%,27.9%,"1,131.99","1,098.21","1,110.67"
4-16-98,53.0%,32.0%,15.0%,100%,46.88%,38.0%,37.9%,48.0%,27.9%,"1,122.72","1,100.60","1,122.72"
4-23-98,40.0%,38.0%,22.0%,100%,45.25%,18.0%,37.9%,48.0%,27.9%,"1,132.98","1,104.77","1,107.90"
4-30-98,44.0%,31.0%,25.0%,100%,44.13%,19.0%,37.9%,48.0%,27.9%,"1,121.02","1,076.70","1,121.00"
5-7-98,43.0%,34.0%,23.0%,100%,44.00%,20.0%,37.9%,48.0%,27.9%,"1,130.52","1,094.53","1,108.14"
5-14-98,33.0%,41.0%,26.0%,100%,43.13%,7.0%,37.9%,48.0%,27.9%,"1,124.03","1,102.78","1,108.73"
5-21-98,38.0%,39.0%,23.0%,100%,42.25%,15.0%,37.9%,48.0%,27.9%,"1,124.45","1,097.99","1,110.47"
5-28-98,34.0%,40.0%,26.0%,100%,40.75%,8.0%,37.9%,48.0%,27.9%,"1,116.79","1,074.39","1,090.82"
6-4-98,25.0%,44.0%,31.0%,100%,38.75%,-6.0%,37.9%,48.0%,27.9%,"1,113.88","1,078.10","1,113.86"
6-11-98,27.0%,49.0%,24.0%,100%,35.50%,3.0%,37.9%,48.0%,27.9%,"1,126.00","1,080.83","1,098.84"
6-18-98,29.0%,38.0%,33.0%,100%,34.13%,-4.0%,37.9%,48.0%,27.9%,"1,112.87","1,074.67","1,100.65"
6-25-98,28.0%,44.0%,28.0%,100%,32.13%,0.0%,37.9%,48.0%,27.9%,"1,142.04","1,099.42","1,133.20"
7-2-98,33.0%,48.0%,19.0%,100%,30.88%,14.0%,37.9%,48.0%,27.9%,"1,148.56","1,131.91","1,146.42"
7-9-98,36.0%,44.0%,20.0%,100%,31.25%,16.0%,37.9%,48.0%,27.9%,"1,166.93","1,145.03","1,164.33"
7-16-98,35.0%,44.0%,21.0%,100%,30.88%,14.0%,37.9%,48.0%,27.9%,"1,188.10","1,160.21","1,186.75"
7-23-98,37.0%,39.0%,24.0%,100%,31.25%,13.0%,37.9%,48.0%,27.9%,"1,190.58","1,129.11","1,140.80"
7-30-98,44.0%,36.0%,20.0%,100%,33.63%,24.0%,37.9%,48.0%,27.9%,"1,147.27","1,114.30","1,120.67"
8-6-98,30.0%,44.0%,26.0%,100%,34.00%,4.0%,37.9%,48.0%,27.9%,"1,121.79","1,057.35","1,089.45"
8-13-98,27.0%,38.0%,35.0%,100%,33.75%,-8.0%,37.9%,48.0%,27.9%,"1,092.82","1,054.00","1,062.75"
8-20-98,25.0%,42.0%,33.0%,100%,33.38%,-8.0%,37.9%,48.0%,27.9%,"1,106.32","1,054.92","1,081.24"
8-27-98,23.0%,32.0%,45.0%,100%,32.13%,-22.0%,37.9%,48.0%,27.9%,"1,106.64","1,021.04","1,027.04"
